DMIS ID Facility Code	Facility
0062	0062	2nd MED GRP-BARKSDALE
0063	0063	23rd MED GRP-ENGLAND
0064	0064	BAYNE-JONES ACH-FT. POLK
0065	0065	42nd MED GRP-LORING
0066	0066	779th MED GRP-ANDREWS
0067	0067	NNMC BETHESDA
0068	0068	NHC PATUXENT RIVER
0069	0069	KIMBROUGH AMB CAR CEN-FT MEADE
0070	0070	VAIL TMC-FT. DEVENS
0071	0071	379th MED GRP-WURTSMITH
0072	0072	410th MED GRP-K.I.SAWYER
0073	0073	81st MED GRP-KEESLER
0074	0074	14th MED GRP-COLUMBUS
0075	0075	L. WOOD ACH-FT. LEONARD WOOD
0076	0076	509th MED GRP-WHITEMAN
0077	0077	341st MED GRP-MALMSTROM
0078	0078	55th MED GRP-OFFUTT
0079	0079	99th MED GRP-O'CALLAGHAN HOSP
0080	0080	509th STRAT HOSP-PEASE
0081	0081	PATTERSON AHC-FT. MONMOUTH
0082	0082	WALSON ACH-FT. DIX
0083	0083	377th MED GRP-KIRTLAND
0084	0084	49th MED GRP-HOLLOMAN
0085	0085	27th SPEC OPS MED GRP-CANNON
0086	0086	KELLER ACH-WEST POINT
0087	0087	380th MED GRP-PLATTSBURGH
0088	0088	416th MED GRP-GRIFFISS
0089	0089	WOMACK AMC-FT. BRAGG
0090	0090	4th MED GRP-SEYMOUR JOHNSON
0091	0091	NH CAMP LEJEUNE
0092	0092	NHC CHERRY POINT
0093	0093	319th MED GRP-GRAND FORKS
0094	0094	5th MED GRP-MINOT
0095	0095	88th MED GRP-WRIGHT-PATTERSON
0096	0096	72nd MED GRP-TINKER
0097	0097	97th MED GRP-ALTUS
0098	0098	REYNOLDS ACH-FT. SILL
0099	0099	NMCL PHILADELPHIA
0100	0100	NAVAL HLTH CLINIC NEW ENGLAND
0101	0101	20th MED GRP-SHAW
0102	0102	354th MED GRP-MYRTLE BEACH
0103	0103	NHC CHARLESTON
0104	0104	NH BEAUFORT
0105	0105	MONCRIEF ACH-FT. JACKSON
0106	0106	28th MED GRP-ELLSWORTH
0107	0107	NBHC NSA MID-SOUTH
0108	0108	WILLIAM BEAUMONT AMC-FT. BLISS
0109	0109	BROOKE AMC-FT. SAM HOUSTON
0110	0110	DARNALL AMC-FT. HOOD
0111	0111	64th MED GRP-REESE
0112	0112	7th MED GRP-DYESS
0113	0113	82nd MED GRP-SHEPPARD
0114	0114	47th MED GRP-LAUGHLIN
0115	0115	67th MED GRP-BERGSTROM
0116	0116	R. THOMPSON STRAT HOSP-CARSWEL
0117	0117	59th MED WING-LACKLAND
0118	0118	NHC CORPUS CHRISTI
0119	0119	75th MED GRP-HILL
0120	0120	633rd MED GRP LANGLEY-EUSTIS
0121	0121	MCDONALD AHC-FT. EUSTIS
0122	0122	KENNER AHC-FT. LEE
0123	0123	DEWITT ACH-FT. BELVOIR
0124	0124	NMC PORTSMOUTH
0125	0125	MADIGAN AMC-FT. LEWIS
0126	0126	NH BREMERTON
0127	0127	NH OAK HARBOR
0128	0128	92nd MED GRP-FAIRCHILD
0129	0129	90th MED GRP-F.E. WARREN
0130	0130	USCG CLINIC KODIAK
0131	0131	WEED ACH-FT. IRWIN
0132	0132	1163rd ASMC
0149	0149	DEERS PROGRAM OFFICE
0150	0150	MILITARY MEDICAL SUPPORT OFFIC
0151	0151	OASD(HEALTH AFFAIRS)
0152	0152	ARMY-OFFICE OF THE SURGEON GEN
0153	0153	NAVY-OFFICE OF NAVAL MEDICINE
0154	0154	USAF OFFICE OF THE SURGEON GEN
0155	0155	USCG-OFF OF CHIEF-OFF OF HLTH
0156	0156	DHHS-BUR OF PRMRY HLTH CARE
0157	0157	NOAA-OFFICE OF THE MED DIR
0161	0161	NTNL PERSNNL RCRDS CNTR (RET-D
0162	0162	NTNL PERSNNEL RCRDS CNTR	(AD)
0164	0164	NAVAL PERSONNEL RECORDS CENTER
0165	0165	NAVAL RESERVE PERSONNEL CENTER
0166	0166	MARINE CORPS RESERVE RECORDS C
0167	0167	9TH AIR EVAC SQUADRON-CLARK AF
0168	0168	SUBAREA JOINT MEDICAL REGULATI
0169	0169	SUBAREA JOINT MEDICAL REGULATI
0170	0170	SUBAREA JOINT MEDICAL REGULATI
0171	0171	EUROPEAN CMD JOINT MED REG
0172	0172	86TH AIR EVAC SQUADRON
0173	0173	US PACIFIC CMD JOINT MED REG
0174	0174	30TH MED BDE
0175	0175	NOSTRA
0176	0176	NOSTRA SATELLITE OSU-MAYPORT
0177	0177	NOSTRA SATELLITE OSU-PENSACOLA
0178	0178	NOSTRA SATELLITE OSU-LEJEUNE
0179	0179	NOSTRA SATELLITE OSU-BETHESDA
0189	0189	ST CATHERINE USTF HOUSTON
0190	0190	JOHNS HOPKINS MED SVCS CORP
0191	0191	BRIGHTON MARINE
0192	0192	CHRISTUS HEALTH USFHP
0193	0193	ST VINCENTS CATHLC MED CTRS NY
0194	0194	PACIFIC MEDICAL CLINICS
0195	0195	ST MARYS USTF GALVESTON
0196	0196	CHRISTUS HEALTH/ST JOSEPH'S
0197	0197	CHRISTUS HEALTH/ST MARY'S
0198	0198	MARTIN'S POINT HEALTH CARE
0199	0199	FAIRVIEW HEALTH SYSTEM
0201	0201	DEAR OCCU HLTH CLINIC-ANNISTON
0202	0202	FT. GREELY AHC
0203	0203	354th MED GRP-EIELSON
0204	0204	TMC FT. RICHARDSON
0205	0205	BMA NSGA ADAK
0206	0206	YUMA PROVING GROUND AHC
0207	0207	USAOHC PINE BLUFF ARSENAL
0208	0208	BMC MCB CAMP PENDLETON
0209	0209	BMC BARSTOW
0210	0210	BMC EDSON RANGE ANNEX
0211	0211	BMA WPNSTA SEAL BEACH
0212	0212	NBHC NAVWPNCEN CHINA LAKE
0213	0213	NMCL LONG BEACH
0214	0214	BMA NAVFAC CORONA
0215	0215	BMA MCAS TUSTIN
0217	0217	NBHC NAS POINT MUGU
0218	0218	AHC FT. CHAFFEE-FT. CHAFFEE
0219	0219	BMC NAS MOFFETT FIELD
0220	0220	BMC NAS ALAMEDA
0221	0221	BMC NSC OAKLAND DIV MARE IS
0222	0222	BMC CONCORD
0223	0223	BMC NAVCOMMSTA STOCKTON
0224	0224	BMC NAVSECGRUACT SKAGGS ISL
0225	0225	BMC NSC OAKLAND
0227	0227	BMC NAVFAC PT SUR
0228	0228	NMAU NAVFAC CENTERVILLE BEACH
0230	0230	NBHC MCRD SAN DIEGO
0231	0231	NBHC NAS NORTH ISLAND
0232	0232	BMC MCAS MIRAMAR
0233	0233	NBHC CORONADO
0234	0234	BMC NAVSTA SAN DIEGO
0235	0235	750th MED SQUAD-ONIZUKA AS
0236	0236	BMC NSC SAN DIEGO
0237	0237	BMC FLEASWTRACENPAC SAN DIEGO
0239	0239	NBHC EL CENTRO
0240	0240	BMA NOCS SAN DIEGO
0241	0241	OAKLAND AHC
0242	0242	SACRAMENTO ARMY DEPOT AHC
0243	0243	SHARPE ARMY DEPOT AHC
0244	0244	SIERRA ARMY DEPOT AHC
0245	0245	TRACY DEFENSE DEPOT AHC
0246	0246	HUNTER-LIGGETT AHC
0247	0247	MONTEREY AHC
0248	0248	61st MED GROUP-LOS ANGELES
0249	0249	63rd MED GRP-NORTON
0250	0250	77th MED GRP-MCCLELLAN
0251	0251	3415th MED SQUAD-LOWRY
0252	0252	21st MED GRP-PETERSON
0253	0253	BMC NAVNUPWRTRAU WINDSOR
0254	0254	LEWES NRMC/BC
0255	0255	MCNAIR AHC MYER-HENDERSON HALL
0256	0256	DILORENZO TRICARE HEALTH CLIN
0257	0257	BMC NAVSECSTA WASHINGTON
0258	0258	NMCL WASHINGTON
0259	0259	BMC NRL WASHINGTON
0260	0260	NBHC NAS PENSACOLA
0261	0261	NBHC MILTON WHITING FIELD
0262	0262	NBHC NATTC PENSACOLA
0264	0264	BMC NTTC CORRY STATN-DUP 0513
0265	0265	NBHC NAVCOASTSYSC PANAMA CITY
0266	0266	NBHC NAS JACKSONVILLE
0267	0267	BMC NAS CECIL FIELD-JACKSNVL
0268	0268	BMC SAN NICOLAS ISLAND
0269	0269	BMC YUMA
0270	0270	BMC NTC ORLANDO
0271	0271	BMC NTC ANNEX ORLANDO
0272	0272	TUTTLE AHC-HUNTER ARMY AIRFLD
0273	0273	LAWRENCE JOEL TMC-FT MCPHERSON
0274	0274	USAHC FORT GILLEM
0275	0275	NBHC ALBANY
0276	0276	NBHC ATHENS
0277	0277	NBHC MARIETTA
0278	0278	POHAKULOA TMC
0279	0279	OAHU NMAU
0280	0280	NHC HAWAII
0281	0281	BMC NAS BARBERS PT
0282	0282	KUNIA NRMC/BC
0283	0283	BMA NAVMAG LUALAULEI
0284	0284	NBHC NAVCAMS EASTPAC
0285	0285	BMC MCAS KANEOHE BAY
0286	0286	KILAUEA TMC
0287	0287	15th MED GRP-HICKAM
0288	0288	USAHC GRANITE CITY SPT CTR
0289	0289	SHERIDAN AHC-FT. SHERIDAN
0290	0290	ROCK ISLAND ARSENAL AHC
0291	0291	USAHC ROCKY MT. ARSENAL
0292	0292	BMC NAS GLENVIEW
0293	0293	305th MED SQUAD-GRISSOM
0294	0294	HAWLEY AHC-FT. B. HARRISON
0295	0295	LEX-BLUE GRASS ARMY DEP AHC
0296	0296	BLUE GRASS DEPOT AHC
0297	0297	NACC NEW ORLEANS (BC)
0298	0298	BMC WINTER HARBOR
0299	0299	NBHC NAS BRUNSWICK
0300	0300	BMC EAST MACHIAS
0301	0301	NBHC INDIAN HEAD
0302	0302	BMC CARDEROCK
0303	0303	BMA WHITE OAK
0304	0304	CHELTENHAM NNMC/BC
0305	0305	TMC 11-DAHLONEGA-FT. BENNING
0306	0306	NHC ANNAPOLIS
0307	0307	RITCHIE AHC-FT. RITCHIE
0308	0308	KIRK AHC-ABERDEEN PRVNG GD
0309	0309	BARQUIST ARMY HEALTH CLINIC
0310	0310	66th MED GRP-HANSCOM
0311	0311	NATICK AHC
0312	0312	BMC NAS SOUTH WEYMOUTH
0313	0313	SELFRIDGE AHC-SELFRIDGE ANGB
0314	0314	BMC NAF DETROIT
0315	0315	DULUTH USAF/HDC
0316	0316	NBHC GULFPORT
0317	0317	NBHC MERIDIAN
0318	0318	MISSOURI HEALTH CLINIC
0319	0319	NBHC FALLON
0320	0320	HAWTHORNE AHC
0321	0321	NBHC PORTSMOUTH
0322	0322	BMC COLTS NECK EARLE
0323	0323	BMC NAVAIRPROPCEN TRENTON
0324	0324	BAYONNE AHC
0325	0325	PICATINNY ARSENAL AHC
0326	0326	87th MED GRP-MCGUIRE
0327	0327	AHC MCAFEE-WHITE SANDS MSL RAN
0328	0328	NBHC SARATOGA SPRINGS
0329	0329	US ARMY OCCUPATIONAL HLTH CLIN
0330	0330	GUTHRIE AHC-FT. DRUM
0331	0331	HANCOCK USAF/HDC
0332	0332	BMC OHPMU MCB CAMP LEJEUNE
0333	0333	BMC MCAS NEW RIVER
0334	0334	CAPE HATTERAS NRMC/BC
0335	0335	43RD MEDICAL GROUP-POPE
0336	0336	USAHC DCSC COLUMBUS
0337	0337	NBHC KINGS BAY
0338	0338	71st MED GRP-VANCE
0339	0339	MCALESTER AHC-FT. MCALESTER
0340	0340	MCALESTER NRMC/BC
0341	0341	UMATILLA ARMY DEPOT OHC
0342	0342	BMC NAVADMINU IDAHO FALLS
0343	0343	BMC NAVFAC COOS HEAD
0344	0344	NBMC NAVAL BUSINESS CENTER
0345	0345	BMC NAVAIRDEVCEN WARMINSTER
0346	0346	NAVAL INVENTORY CONTROL POINT
0347	0347	BMC WILLOW GROVE
0348	0348	BMC MECHANICSBURG
0349	0349	BMC NAVDAMCONTR PHILADELPHIA
0350	0350	INDIANTOWN GAP AHC
0351	0351	LETTERKENNY ARMY DEPOT AHC
0352	0352	DUNHAM AHC-CARLISLE BARRACKS
0353	0353	USAOHC TOBYHANNA ARMY DEPOT
0354	0354	BMC NUSC NEWPORT
0355	0355	BMC CBC DAVISVILLE
0356	0356	628th MED GRP-CHARLESTON
0357	0357	NBHC WPNSCEN CRANE
0358	0358	NBHC MCRD PARRIS ISLAND
0359	0359	BMC NAVSTA CHARLESTON
0360	0360	NBHC MCAS BEAUFORT
0361	0361	BMC NAS MEMPHIS
0362	0362	RED RIVER ARMY DEPOT OHC
0363	0363	311TH MED SQUAD-BROOKS
0364	0364	17th MED GRP-GOODFELLOW
0365	0365	KELLY CLINIC
0366	0366	359th MED GRP-RANDOLPH
0367	0367	MDCL NAVNCF INDIANAPOLIS
0368	0368	BMC NAS CHASE FIELD-BEEVILLE
0369	0369	NBHC KINGSVILLE
0370	0370	NBHC FORT WORTH
0371	0371	DUGWAY PROVING GROUND AHC
0372	0372	MONROE AHC-FT. MONROE
0373	0373	AHC DEF GEN SUP CNTR
0374	0374	TMC FT. PICKETT
0375	0375	AP HILL AHC
0376	0376	OCC NSG OFC-CHARLOTTESVILLE
0377	0377	NAS NORFOLK NRMC/BC
0378	0378	NBHC LITTLE CREEK
0379	0379	BMC NSC NORFOLK
0380	0380	NBHC NSY NORFOLK
0381	0381	NBHC YORKTOWN
0382	0382	NBHC DAM NECK
0383	0383	ATLANTIC NRMC/BC
0384	0384	BMC ARLINGTON ANNEX
0385	0385	NHC QUANTICO
0386	0386	NBHC DAHLGREN
0387	0387	NBHC OCEANA
0388	0388	BMC SUBACT LANTFLT
0389	0389	AHC DAVIDSON AAF-FT. BELVOIR
0390	0390	ANDREW RADER AHC MYER-HENDERSN
0391	0391	USAHC ARLINGTON HALL
0392	0392	CAMERON STATION AHC
0393	0393	VINT HILL FARMS STA AHC
0394	0394	YAKIMA FIRING CENTER AHC
0395	0395	62nd MED SQUAD-MCCHORD
0396	0396	NMCL SEATTLE
0397	0397	BMC KEYPORT
0398	0398	NBHC PUGET SOUND
0399	0399	BMC NAVFAC PACIFIC BEACH
0400	0400	MDCL ORDSTA LOUISVILLE
0401	0401	BMC LAKEHURST
0402	0402	BMC VAEXTCARECEN ST. ALBANS
0403	0403	BMC NAVSTA NEW YORK
0404	0404	BMC SUGAR GROVE
0405	0405	NBHC MAYPORT
0407	0407	NBHC NTC SAN DIEGO
0408	0408	AHC SENECA
0409	0409	SD E COUNTY PRIMARY CARE CLIN
0411	0411	NMCL SAN FRANCISCO
0413	0413	579TH MED GROUP-BOLLING
0414	0414	BMA NALF SAN CLEMENTE
0415	0415	BMC BRIDGEPORT
0416	0416	USCG CLINIC MOBILE
0417	0417	USCG CLINIC KETCHIKAN
0418	0418	USCG CLINIC ALAMEDA
0419	0419	USCG CLINIC PETALUMA
0420	0420	USCG CLINIC DISTRICT OF COLUMB
0421	0421	USCG CLINIC AIR STATION MIAMI
0422	0422	USCG CLINIC CLEARWATER
0423	0423	USCG CLINIC NEW ORLEANS
0424	0424	USCG CLINIC BALTIMORE
0425	0425	USCG CLINIC CAPE COD
0426	0426	USCG CLINIC BOSTON
0427	0427	USCG CLINIC TRAVERSE CITY
0428	0428	USCG CLINIC CAPE MAY
0429	0429	USCG CLINIC GOVERNORS ISLAND
0430	0430	USCG CLINIC ELIZABETH CITY
0431	0431	USCG CLINIC ASTORIA
0432	0432	USCG CLINIC PORTSMOUTH
0433	0433	USCG CLINIC YORKTOWN
0434	0434	USCG CLINIC PORT ANGELES
0435	0435	USCG CLINIC SEATTLE
0436	0436	NBHC NAS BELLE CHASE
0437	0437	SCHOFIELD BARRACKS AHC
0438	0438	AINSWORTH US ARMY OCCU HLTH CL
0439	0439	USAHC WATERTOWN ARSENAL
0440	0440	STEWART SUBPOST AHC
0441	0441	NEW CUMBERLAND ARMY DEPOT AHC
0442	0442	PHILADELPHIA DPC
0443	0443	TOOELE ARMY DEPOT AHC
0444	0444	OGDEN AHC
0445	0445	14TH DENTAL FLIGHT COLUMBUS
0446	0446	KINGSLEY FIELD USAF/HDC
0447	0447	CRAIG USAF/HDC
0448	0448	KINCHELOE USAF/HDC
0449	0449	24th MED GRP-HOWARD
0450	0450	BDC NEW LONDON
0451	0451	BDC NAVAL ACADEMY
0452	0452	BDC NAS PATUXENT RIVER
0453	0453	BDC NAS WHIDBEY ISLAND
0454	0454	BDC NAVSTA SEATTLE
0455	0455	BDC MCAS CHERRY POINT
0456	0456	NBDC NORFOLK NAVSTA
0457	0457	NDC CAMP PENDLETON
0458	0458	BDC LONG BEACH
0459	0459	BDC PHILADELPHIA
0460	0460	BDC NAS MEMPHIS
0461	0461	BDC PORTSMOUTH NH
0462	0462	BMC CLEVELAND
0463	0463	NRMC/BC FLT MAR FORCE PACIFIC-
0464	0464	AHC FT. STORY
0465	0465	BDC NAS SOUTH WEYMOUTH
0466	0466	BDC BRUNSWICK
0467	0467	BDC WINTER HARBOR
0468	0468	BDC NAVSTA ADAK
0469	0469	BDC NAS LEMOORE
0470	0470	USADC FT. SHAFTER
0471	0471	USADC FT. MCCOY
0475	0475	BDC NAVACT LONDON
0476	0476	NDC PEARL HARBOR
0477	0477	BDC MCDEC QUANTICO
0478	0478	BDC PORT HUENEME
0480	0480	WEBB AFB
0481	0481	TMC ABERDEEN PROVING GROUND
0482	0482	CHPPM
0484	0484	NDC NORTHEAST
0485	0485	NBDC SAN DIEGO NAVSTA
0486	0486	NDC CHARLESTON
0487	0487	BDC ORLANDO
0488	0488	NDC SOUTHEAST
0489	0489	NDC NORTHWEST
0490	0490	NDC GULFCOAST
0491	0491	NDC PARRIS ISLAND
0492	0492	NDC CAMP LEJEUNE
0493	0493	BDC SAN FRANCISCO
0494	0494	NDC GREAT LAKES
0495	0495	NNDC BETHESDA
0499	0499	BDC MCB CAMP H M SMITH
0500	0500	BDC SUPSHIP PASCAGOULA
0501	0501	NRDC/BDC SCOTIA
0502	0502	399TH CSH (TOE)
0503	0503	865TH CSH (TOE)
0504	0504	352ND CSH (TOE)
0505	0505	BMC LAFAYETTE RIVER
0506	0506	BMC MCFMF 2ND MARINE DIV. NC
0507	0507	BMC MCFMF CAMP LEJEUNE NC
0508	0508	NBHC NAVSTA SEWELLS
0509	0509	BMC SEAL BEACH
0510	0510	BMC EL TORO
0511	0511	NBHC WPNSTA CHARLESTON
0512	0512	BMC NAVSHIPYD CHARLESTON
0513	0513	NBHC NTTC PENSACOLA
0514	0514	NMCL WASH-DUP-SEE 0703
0515	0515	BMC NAVSEC WASHINGTON
0516	0516	BMC NAVSTA MARE ISLAND
0517	0517	NBHC KEY WEST
0518	0518	NBHC NCTC GREAT LAKES
0519	0519	NBHC CHESAPEAKE
0520	0520	BMC NALF CROWS LANDING
0521	0521	BH GULFPORT
0522	0522	NBHC ANDREWS AFB
0523	0523	BMC NTC GRT LAKES DUP OF 1959
0524	0524	BMA BARKING SANDS
0525	0525	NBHC BANCROFT HALL
0526	0526	BMC SAN FRANCISCO
0527	0527	BMA PASCAGOULA
0528	0528	BMC NSY PEARL HARBOR
0529	0529	BMC WPNSTA ANNEX ST. JULIENS
0530	0530	BMC NSSF SAN DIEGO
0531	0531	TMC-3-NORTH 25th-SCHOFIELD BKS
0532	0532	TMC-2-QUAD B-SCHOFIELD BKS
0533	0533	TMC SOUTH 25TH HI
0534	0534	TMC-1-SCHOF 25th-SCHOFIELD BKS
0535	0535	25TH INF DIV HI
0536	0536	25TH INF DIV OFF HI
0537	0537	TMC-FT. RICHARDSON
0538	0538	222 AVN MED CLNIC-FT. WAINWRIG
0539	0539	222 AVN BN-FT. WAINWRIGHT AK
0540	0540	6TH ID(L)-FT. WAINWRIGHT
0541	0541	10 CBT SPT HOSP-DUPID 0550
0542	0542	42ND FLD HOSP-INDIANTOWN GAP
0543	0543	15TH CBT SPT HOSP-INDIANTOWN
0544	0544	USAHC FRNKFRD ARS PHILADELPHIA
0545	0545	OHC EDGEWOOD ARS
0546	0546	CEHC EDGEWOOD ARS-ABERDEEN PRO
0547	0547	TMC-1-KIMBROUGH-FT. MEADE
0548	0548	TMC-2-KIMBROUGH-FT. MEADE
0549	0549	TMC-3-KIMBROUGH-FT. MEADE
0550	0550	10 CBT SPT HOSP (TOE)
0551	0551	AHC NORTH POST-FT. BELVOIR
0552	0552	AHC SOUTH POST-FT. BELVOIR
0553	0553	TMC-1-FT. EUSTIS
0554	0554	TMC-2-FT. EUSTIS
0555	0555	TMC-1-KENNER-FT. LEE
0556	0556	TMC-2-KENNER-FT. LEE
0557	0557	OHC-FT. LEE
0558	0558	CEHC D C SYSTEM-WASHINGTON DC
0559	0559	USAHC FORREST BLDG-WASHINGTON
0560	0560	GUTHRIE AHC-DUP OF 0330
0561	0561	TMC-1-PATTERSON-FT. MONMOUTH
0562	0562	TMC-2-PATTERSON-FT. MONMOUTH
0563	0563	TMC-3-FT. BRAGG
0564	0564	TMC-9-FT. BRAGG
0565	0565	TMC-10-FT. BRAGG
0566	0566	TMC-11-FT. BRAGG
0567	0567	TMC-12-FT. BRAGG
0568	0568	TMC-13-FT. BRAGG
0569	0569	TMC-15-FT. BRAGG
0570	0570	USAOHC FT. BRAGG
0571	0571	TMC-17-FT. BRAGG
0572	0572	TMC-19-WOMACK-FT. BRAGG
0573	0573	TMC-20-FT. BRAGG
0574	0574	TMC-21-FT. BRAGG
0575	0575	TMC-22-FT. BRAGG
0576	0576	OCC HLTH NSG OFF-SUNNY POINT
0577	0577	USA PHYSICAL EXAM CENTER
0578	0578	JFK MEDICAL CENTER-FT. BRAGG
0579	0579	307th MED BTN-82nd AIRBORNE
0580	0580	28TH CSH (TOE)
0581	0581	TMC-1-CUTLER-FT. DEVENS
0582	0582	TMC-2-CUTLER-FT. DEVENS
0583	0583	TMC-4-CUTLER-FT. DEVENS
0584	0584	TMC-10-SPEC-FT. DEVENS
0585	0585	10 SPEC FORCES-FT. CARSON
0586	0586	TMC-4-FT. HANCOCK
0587	0587	TMC-2-WALSON-FT. DIX
0588	0588	TMC-4-FT. DIX
0589	0589	TMC-5-WALSON-FT. DIX
0590	0590	TMC-7-FT. DIX
0591	0591	TMC-9-FT. DIX
0592	0592	TMC-1-IRELAND-FT. KNOX
0593	0593	TMC-2-IRELAND-FT. KNOX
0594	0594	TMC-3-IRELAND-FT. KNOX
0595	0595	TMC-4-IRELAND-FT. KNOX
0596	0596	TMC (CENT) IRELAND-FT. KNOX
0597	0597	TMC (AVN) IRELAND-FT. KNOX
0598	0598	TMC-194-IRELAND-FT. KNOX
0599	0599	42nd FIELD HOSP-FT. KNOX
0601	0601	USA HOSP AUGSBURG
0602	0602	USA HOSP BAD CANNSTATT
0603	0603	USA HOSP BERLIN
0604	0604	USA HOSP BREMERHAVEN
0605	0605	AHC FRANKFURT
0606	0606	HEIDELBERG MEDDAC
0607	0607	LANDSTUHL REGIONAL MEDCEN
0608	0608	AHC NUERNBERG
0609	0609	BAVARIA MEDDAC
0610	0610	BG CRAWFORD SAMS AHC-CAMP ZAMA
0611	0611	VICENZA MEDICAL SERVICES CNTR
0612	0612	BRIAN ALLGOOD ACH-SEOUL
0613	0613	GORGAS ACH
0614	0614	AHC SHAPE
0615	0615	NH GUANTANAMO BAY
0616	0616	NH ROOSEVELT ROADS-CEIBA
0617	0617	NH NAPLES
0618	0618	NH ROTA
0619	0619	NH SUBIC BAY
0620	0620	NH GUAM-AGANA
0621	0621	NH OKINAWA
0622	0622	NH YOKOSUKA
0623	0623	NH KEFLAVIK
0624	0624	NH SIGONELLA
0625	0625	BMC IWAKUNI
0626	0626	52nd MED GRP-BITBURG
0627	0627	583rd MED SQUAD-HAHN
0628	0628	7100th CSW MED CEN-WIESBADEN
0629	0629	65th MED GRP-LAJES
0630	0630	600th MED SQUAD-TORREJON
0631	0631	7206th ABG HOSP-HELLENIKON
0632	0632	620th MED SQUAD-UPPER HEYFORD
0633	0633	48th MED GRP-LAKENHEATH
0634	0634	7276th ABG HOSP-IRAKLION
0635	0635	39th MED GROUP-INCIRLIK
0636	0636	13th MED CENTER-CLARK AB
0637	0637	8th MED GRP-KUNSAN AB
0638	0638	51st MED GRP-OSAN AB
0639	0639	35th MED GRP-MISAWA
0640	0640	374th MED GRP-YOKOTA AB
0641	0641	RESERVED FOR MDMIS
0642	0642	RESERVED FOR MDMIS
0643	0643	RESERVED FOR MDMIS
0644	0644	RESERVED FOR MDMIS
0645	0645	RESERVED FOR MDMIS
0646	0646	RESERVED FOR MDMIS
0647	0647	RESERVED FOR MDMIS
0648	0648	RESERVED FOR MDMIS
0651	0651	UNIDENTIFIED ARMY FACILITY
0652	0652	UNIDENTIFIED NAVY FACILITY
0653	0653	422 ABS MED FLT-CROUGHTON
0654	0654	NBHC PASCAGOULA
0655	0655	BDC NS PASCAGOULA
0656	0656	NBHC INGLESIDE
0657	0657	PRIMARY CARE BOYDS
0658	0658	PRIMARY CARE COLUMBIA
0659	0659	PRIMARY CARE BURKE
0660	0660	SAN FRANCISCO VA MEDICAL CTR
0661	0661	VA PALO ALTO HEALTH SYSTEM
0701	0701	NBHC NAVSTA SAN DIEGO
0702	0702	NMCL NORFOLK
0703	0703	NBHC WASHINGTON NAVY YARD
0710	0710	0710-0790 RESERVED-DESERT STOR
0781	0781	NORTHEAST WEST VIRGINIA
0782	0782	WESTERN WEST VIRGINIA
0783	0783	EASTERN MISSOURI-ST LOUIS AREA
